link,title,num,letter,hydrogel,sentence,figure,SEM
https://pubs.acs.org/doi/10.1021/acsnano.6b05318,Mussel-Inspired Adhesive and Tough Hydrogel Based on Nanoclay Confined Dopamine Polymerization,S7.,d,clay-PAM," clay-PAM   hydrogel, ","=HYPERLINK(""sem/10.1021_acsnano.6b05318\supp_11.jpg"",""sem/10.1021_acsnano.6b05318\supp_11.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.6b05318\SEM"",""sem/10.1021_acsnano.6b05318\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.6b05318,Mussel-Inspired Adhesive and Tough Hydrogel Based on Nanoclay Confined Dopamine Polymerization,S7.,e,PDA-clay-PAM, PDA-clay-PAM hydrogel.,"=HYPERLINK(""sem/10.1021_acsnano.6b05318\supp_11.jpg"",""sem/10.1021_acsnano.6b05318\supp_11.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.6b05318\SEM"",""sem/10.1021_acsnano.6b05318\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.6b05318,Mussel-Inspired Adhesive and Tough Hydrogel Based on Nanoclay Confined Dopamine Polymerization,S14.,a,CLSM, and CLSM image ,"=HYPERLINK(""sem/10.1021_acsnano.6b05318\supp_24.jpg"",""sem/10.1021_acsnano.6b05318\supp_24.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.6b05318\SEM"",""sem/10.1021_acsnano.6b05318\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.6b05318,Mussel-Inspired Adhesive and Tough Hydrogel Based on Nanoclay Confined Dopamine Polymerization,S14.,b,PAM, of fibroblasts adhered on pure PAM  hydrogels after 3 days of culture.,"=HYPERLINK(""sem/10.1021_acsnano.6b05318\supp_24.jpg"",""sem/10.1021_acsnano.6b05318\supp_24.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.6b05318\SEM"",""sem/10.1021_acsnano.6b05318\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c04379,Pristine Titanium Carbide MXene Hydrogel Matrix,Figure 3,d,Ti3C2Tx, High resolution SEM images of the inner microstructure of the freeze-dried Ti3C2Tx hydrogel thawed in 5 M HCl.,"=HYPERLINK(""sem/10.1021_acsnano.0c04379\nn0c04379_0003.jpeg"",""sem/10.1021_acsnano.0c04379\nn0c04379_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsnano.0c04379\SEM"",""sem/10.1021_acsnano.0c04379\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c04379,Pristine Titanium Carbide MXene Hydrogel Matrix,Figure 4,"a1, b1, c1, d, and e",Ti3C2Tx," SEM images of the Ti3C2Tx hydrogel with random, local oriented, long-range oriented microstructure three kinds of cellular sizes, respectively.","=HYPERLINK(""sem/10.1021_acsnano.0c04379\nn0c04379_0004.jpeg"",""sem/10.1021_acsnano.0c04379\nn0c04379_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsnano.0c04379\SEM"",""sem/10.1021_acsnano.0c04379\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c04379,Pristine Titanium Carbide MXene Hydrogel Matrix,S5.,a1,Ti3C2Tx, freeze-dried Ti3C2Tx aerogel;  ,"=HYPERLINK(""sem/10.1021_acsnano.0c04379\supp_8.jpg"",""sem/10.1021_acsnano.0c04379\supp_8.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.0c04379\SEM"",""sem/10.1021_acsnano.0c04379\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c04379,Pristine Titanium Carbide MXene Hydrogel Matrix,S5.,b1,Ti3C2Tx, Ti3C2Tx hydrogel thawed in 5 M HCl; ,"=HYPERLINK(""sem/10.1021_acsnano.0c04379\supp_8.jpg"",""sem/10.1021_acsnano.0c04379\supp_8.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.0c04379\SEM"",""sem/10.1021_acsnano.0c04379\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c04379,Pristine Titanium Carbide MXene Hydrogel Matrix,S5.,c1,Ti3C2Tx, Ti3C2Tx hydrogel thawed in 2 M HCl.,"=HYPERLINK(""sem/10.1021_acsnano.0c04379\supp_8.jpg"",""sem/10.1021_acsnano.0c04379\supp_8.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.0c04379\SEM"",""sem/10.1021_acsnano.0c04379\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c04379,Pristine Titanium Carbide MXene Hydrogel Matrix,S7.,b,Ti3C2Tx," top view and side view of the oriented microstructure in pristine Ti3C2Tx hydrogel dried,  SEM images.","=HYPERLINK(""sem/10.1021_acsnano.0c04379\supp_10.jpg"",""sem/10.1021_acsnano.0c04379\supp_10.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.0c04379\SEM"",""sem/10.1021_acsnano.0c04379\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c04379,Pristine Titanium Carbide MXene Hydrogel Matrix,S13.,b,Ti3C2Tx," SEM images and structural models of Ti3C2Tx hydrogel without “cap” and with “cap” structure,  respectively.","=HYPERLINK(""sem/10.1021_acsnano.0c04379\supp_15.jpg"",""sem/10.1021_acsnano.0c04379\supp_15.jpg"")","=HYPERLINK(""sem/10.1021_acsnano.0c04379\SEM"",""sem/10.1021_acsnano.0c04379\SEM"")"
https://pubs.acs.org/doi/10.1021/acsabm.0c01225,Hydrogel Complex Electrospun Scaffolds and Their Multiple Functions in In Situ Vascular Tissue Engineering,Figure 1,B,PCLH, Scanning electron microscopy SEM photographs of the inside and outside surfaces of pure PCLH and hydrogel scaffolds; scale bars = 50 μm.,"=HYPERLINK(""sem/10.1021_acsabm.0c01225\mt0c01225_0002.jpeg"",""sem/10.1021_acsabm.0c01225\mt0c01225_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsabm.0c01225\SEM"",""sem/10.1021_acsabm.0c01225\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c01658,Multifunctional Supramolecular Hydrogel for Prevention of Epidural Adhesion after Laminectomy,Figure 3,C–E,PXNT, SEM images illustrating the fracture surface of the PXNT hydrogel at varied resolutions.,"=HYPERLINK(""sem/10.1021_acsnano.0c01658\nn0c01658_0003.jpeg"",""sem/10.1021_acsnano.0c01658\nn0c01658_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsnano.0c01658\SEM"",""sem/10.1021_acsnano.0c01658\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.0c01658,Multifunctional Supramolecular Hydrogel for Prevention of Epidural Adhesion after Laminectomy,Figure 3,F,PXNT, SEM image showing the surface morphology of the PXNT hydrogel.,"=HYPERLINK(""sem/10.1021_acsnano.0c01658\nn0c01658_0003.jpeg"",""sem/10.1021_acsnano.0c01658\nn0c01658_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsnano.0c01658\SEM"",""sem/10.1021_acsnano.0c01658\SEM"")"
https://pubs.acs.org/doi/10.1021/acsapm.9b00874,Antibacterial Self-Healing Hydrogel via the Ugi Reaction,Figure 2,c,8," 8 wt % P1, ","=HYPERLINK(""sem/10.1021_acsapm.9b00874\ap9b00874_0002.jpeg"",""sem/10.1021_acsapm.9b00874\ap9b00874_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsapm.9b00874\SEM"",""sem/10.1021_acsapm.9b00874\SEM"")"
https://pubs.acs.org/doi/10.1021/acsapm.9b00874,Antibacterial Self-Healing Hydrogel via the Ugi Reaction,Figure 2,d,10," 10 wt % P1, and ","=HYPERLINK(""sem/10.1021_acsapm.9b00874\ap9b00874_0002.jpeg"",""sem/10.1021_acsapm.9b00874\ap9b00874_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsapm.9b00874\SEM"",""sem/10.1021_acsapm.9b00874\SEM"")"
https://pubs.acs.org/doi/10.1021/acsapm.9b00874,Antibacterial Self-Healing Hydrogel via the Ugi Reaction,Figure 2,e,12, 12 wt % P1.,"=HYPERLINK(""sem/10.1021_acsapm.9b00874\ap9b00874_0002.jpeg"",""sem/10.1021_acsapm.9b00874\ap9b00874_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsapm.9b00874\SEM"",""sem/10.1021_acsapm.9b00874\SEM"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00760,Angiogenesis Potential of Bladder Acellular Matrix Hydrogel by Compounding Endothelial Cells,Figure 2,A,"4 mg/mL,"," 4 mg/mL, ","=HYPERLINK(""sem/10.1021_acsabm.8b00760\mt-2018-00760v_0002.jpeg"",""sem/10.1021_acsabm.8b00760\mt-2018-00760v_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsabm.8b00760\SEM"",""sem/10.1021_acsabm.8b00760\SEM"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00760,Angiogenesis Potential of Bladder Acellular Matrix Hydrogel by Compounding Endothelial Cells,Figure 2,B,"6 mg/mL,"," 6 mg/mL, and ","=HYPERLINK(""sem/10.1021_acsabm.8b00760\mt-2018-00760v_0002.jpeg"",""sem/10.1021_acsabm.8b00760\mt-2018-00760v_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsabm.8b00760\SEM"",""sem/10.1021_acsabm.8b00760\SEM"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00760,Angiogenesis Potential of Bladder Acellular Matrix Hydrogel by Compounding Endothelial Cells,Figure 2,C,8 mg/mL BAM," 8 mg/mL BAM hydrogels, and of ","=HYPERLINK(""sem/10.1021_acsabm.8b00760\mt-2018-00760v_0002.jpeg"",""sem/10.1021_acsabm.8b00760\mt-2018-00760v_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsabm.8b00760\SEM"",""sem/10.1021_acsabm.8b00760\SEM"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00760,Angiogenesis Potential of Bladder Acellular Matrix Hydrogel by Compounding Endothelial Cells,Figure 2,D,2.5 mg/mL, 2.5 mg/mL collagen hydrogel.,"=HYPERLINK(""sem/10.1021_acsabm.8b00760\mt-2018-00760v_0002.jpeg"",""sem/10.1021_acsabm.8b00760\mt-2018-00760v_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsabm.8b00760\SEM"",""sem/10.1021_acsabm.8b00760\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.7b14319,Injectable Coacervate Hydrogel for Delivery of Anticancer Drug-Loaded Nanoparticles in vivo,Figure 3,B,BTZ-loaded micelle/B7, BTZ-loaded micelle/B7 + G3 hydrogel composite.,"=HYPERLINK(""sem/10.1021_acsami.7b14319\am-2017-14319k_0003.jpeg"",""sem/10.1021_acsami.7b14319\am-2017-14319k_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.7b14319\SEM"",""sem/10.1021_acsami.7b14319\SEM"")"
https://pubs.acs.org/doi/10.1021/acs.nanolett.0c01371,Nanoenzyme-Reinforced Injectable Hydrogel for Healing Diabetic Wounds Infected with Multidrug Resistant Bacteria,Figure 2,e,FEMI, Representative SEM image of FEMI hydrogel showed a distinct 3D porous structure.,"=HYPERLINK(""sem/10.1021_acs.nanolett.0c01371\nl0c01371_0002.jpeg"",""sem/10.1021_acs.nanolett.0c01371\nl0c01371_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acs.nanolett.0c01371\SEM"",""sem/10.1021_acs.nanolett.0c01371\SEM"")"
https://pubs.acs.org/doi/10.1021/acs.nanolett.0c01371,Nanoenzyme-Reinforced Injectable Hydrogel for Healing Diabetic Wounds Infected with Multidrug Resistant Bacteria,Figure 2,f,EDS FEMI, The magnified SEM image and EDS elemental mappings of FEMI hydrogel.,"=HYPERLINK(""sem/10.1021_acs.nanolett.0c01371\nl0c01371_0002.jpeg"",""sem/10.1021_acs.nanolett.0c01371\nl0c01371_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acs.nanolett.0c01371\SEM"",""sem/10.1021_acs.nanolett.0c01371\SEM"")"
https://pubs.acs.org/doi/10.1021/acs.nanolett.0c01371,Nanoenzyme-Reinforced Injectable Hydrogel for Healing Diabetic Wounds Infected with Multidrug Resistant Bacteria,S3.,a,"

3D FEM"," Representative SEM images showed distinct   3D porous structure of FEM hydrogels, and the pore size decreased by increasing the concentration   of EM nanosheets 0.05 %: FEM-1; 0.10 %: FEM-2; 0.15 %: FEM-3; 0.20 %: FEM-4.","=HYPERLINK(""sem/10.1021_acs.nanolett.0c01371\supp_14.jpg"",""sem/10.1021_acs.nanolett.0c01371\supp_14.jpg"")","=HYPERLINK(""sem/10.1021_acs.nanolett.0c01371\SEM"",""sem/10.1021_acs.nanolett.0c01371\SEM"")"
https://pubs.acs.org/doi/10.1021/acs.nanolett.0c01371,Nanoenzyme-Reinforced Injectable Hydrogel for Healing Diabetic Wounds Infected with Multidrug Resistant Bacteria,S3.,b,FEM, The pore size of FEM hydrogels as calculated from SEM images.,"=HYPERLINK(""sem/10.1021_acs.nanolett.0c01371\supp_14.jpg"",""sem/10.1021_acs.nanolett.0c01371\supp_14.jpg"")","=HYPERLINK(""sem/10.1021_acs.nanolett.0c01371\SEM"",""sem/10.1021_acs.nanolett.0c01371\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b10064,"Ultratough, Self-Healing, and Tissue-Adhesive Hydrogel for Wound Dressing",Figure 1,a,PAM, the PAM hydrogel and ,"=HYPERLINK(""sem/10.1021_acsami.8b10064\am-2018-10064s_0001.jpeg"",""sem/10.1021_acsami.8b10064\am-2018-10064s_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b10064\SEM"",""sem/10.1021_acsami.8b10064\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b10064,"Ultratough, Self-Healing, and Tissue-Adhesive Hydrogel for Wound Dressing",Figure 1,b,OSA-DA-PAM, the OSA-DA-PAM hydrogel.,"=HYPERLINK(""sem/10.1021_acsami.8b10064\am-2018-10064s_0001.jpeg"",""sem/10.1021_acsami.8b10064\am-2018-10064s_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b10064\SEM"",""sem/10.1021_acsami.8b10064\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b10064,"Ultratough, Self-Healing, and Tissue-Adhesive Hydrogel for Wound Dressing",Figure 6,a,OSA-DA-PAM, SEM image of fibroblasts adhered to the OSA-DA-PAM hydrogel.,"=HYPERLINK(""sem/10.1021_acsami.8b10064\am-2018-10064s_0006.jpeg"",""sem/10.1021_acsami.8b10064\am-2018-10064s_0006.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b10064\SEM"",""sem/10.1021_acsami.8b10064\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.0c16719,Multiple-Stimuli-Responsive and Cellulose Conductive Ionic Hydrogel for Smart Wearable Devices and Thermal Actuators,Figure 1,AA-AM,-Al3+,-Al3+ right hydrogels; the scale bar is 30 μm.,"=HYPERLINK(""sem/10.1021_acsami.0c16719\am0c16719_0002.jpeg"",""sem/10.1021_acsami.0c16719\am0c16719_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.0c16719\SEM"",""sem/10.1021_acsami.0c16719\SEM"")"
https://pubs.acs.org/doi/10.1021/acsapm.0c00779,Fabrication of a Surface Adhesion Layer for Hydrogel Sensors via Photografting,Figure 3,d,UV–vis, UV–vis spectra of the hydrogel thin film; ,"=HYPERLINK(""sem/10.1021_acsapm.0c00779\ap0c00779_0004.jpeg"",""sem/10.1021_acsapm.0c00779\ap0c00779_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsapm.0c00779\SEM"",""sem/10.1021_acsapm.0c00779\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.9b01886,Conductive Hydrogen Sulfide-Releasing Hydrogel Encapsulating ADSCs for Myocardial Infarction Treatment,Figure 2,B,XRD TA APTC ALG-CHO/ALG–TA–APTC/Geln," XRD spectra of TA powder, APTC powder, and ALG-CHO/ALG–TA–APTC/Geln hydrogel; ","=HYPERLINK(""sem/10.1021_acsami.9b01886\am-2019-01886s_0002.jpeg"",""sem/10.1021_acsami.9b01886\am-2019-01886s_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.9b01886\SEM"",""sem/10.1021_acsami.9b01886\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.9b01886,Conductive Hydrogen Sulfide-Releasing Hydrogel Encapsulating ADSCs for Myocardial Infarction Treatment,Figure 2,C,TA APTC ALG-CHO/ALG–TA–APTC/Geln," Raman spectra of pure TA powder, APTC powder, and ALG-CHO/ALG–TA–APTC/Geln hydrogel; ","=HYPERLINK(""sem/10.1021_acsami.9b01886\am-2019-01886s_0002.jpeg"",""sem/10.1021_acsami.9b01886\am-2019-01886s_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.9b01886\SEM"",""sem/10.1021_acsami.9b01886\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.9b01886,Conductive Hydrogen Sulfide-Releasing Hydrogel Encapsulating ADSCs for Myocardial Infarction Treatment,Figure 2,G,ALG-CHO/Geln," scanning electron microscopy SEM images of the ALG-CHO/Geln hydrogel, scale bar: 10 μm; ","=HYPERLINK(""sem/10.1021_acsami.9b01886\am-2019-01886s_0002.jpeg"",""sem/10.1021_acsami.9b01886\am-2019-01886s_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.9b01886\SEM"",""sem/10.1021_acsami.9b01886\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.9b01886,Conductive Hydrogen Sulfide-Releasing Hydrogel Encapsulating ADSCs for Myocardial Infarction Treatment,Figure 2,"H, I",ALG-CHO/ALG–TA–APTC/Geln," SEM images of ALG-CHO/ALG–TA–APTC/Geln hydrogels, scale bar: 30, 10, and 1 μm inset.","=HYPERLINK(""sem/10.1021_acsami.9b01886\am-2019-01886s_0002.jpeg"",""sem/10.1021_acsami.9b01886\am-2019-01886s_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.9b01886\SEM"",""sem/10.1021_acsami.9b01886\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b13235,Rapid Recovery Hydrogel Actuators in Air with Bionic Large-Ranged Gradient Structure,Figure 1,b,GN8E1, SEM of freeze-dried GN8E1 with large-ranged gradient structure along the direction of the electric field; ,"=HYPERLINK(""sem/10.1021_acsami.8b13235\am-2018-132356_0001.jpeg"",""sem/10.1021_acsami.8b13235\am-2018-132356_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b13235\SEM"",""sem/10.1021_acsami.8b13235\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b13235,Rapid Recovery Hydrogel Actuators in Air with Bionic Large-Ranged Gradient Structure,Figure 1,statistic sample numbers n > 200,GN8E1, of GN8E1 at three different locations.,"=HYPERLINK(""sem/10.1021_acsami.8b13235\am-2018-132356_0001.jpeg"",""sem/10.1021_acsami.8b13235\am-2018-132356_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b13235\SEM"",""sem/10.1021_acsami.8b13235\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.7b04832,Bioinspired Adhesive Hydrogel Driven by Adenine and Thymine,Figure 9,a,PAAm, swelling photographs of PAAm hydrogels and PAAm-AT adhesive hydrogels and ,"=HYPERLINK(""sem/10.1021_acsami.7b04832\am-2017-04832e_0009.jpeg"",""sem/10.1021_acsami.7b04832\am-2017-04832e_0009.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.7b04832\SEM"",""sem/10.1021_acsami.7b04832\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.7b04832,Bioinspired Adhesive Hydrogel Driven by Adenine and Thymine,Figure 9,c,PAAm, PAAm hydrogels and ,"=HYPERLINK(""sem/10.1021_acsami.7b04832\am-2017-04832e_0009.jpeg"",""sem/10.1021_acsami.7b04832\am-2017-04832e_0009.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.7b04832\SEM"",""sem/10.1021_acsami.7b04832\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.7b04832,Bioinspired Adhesive Hydrogel Driven by Adenine and Thymine,Figure 9,d,PAAm-AT-adhesive, PAAm-AT-adhesive hydrogels.,"=HYPERLINK(""sem/10.1021_acsami.7b04832\am-2017-04832e_0009.jpeg"",""sem/10.1021_acsami.7b04832\am-2017-04832e_0009.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.7b04832\SEM"",""sem/10.1021_acsami.7b04832\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b19482,Reversibly Assembled Electroconductive Hydrogel via a Host–Guest Interaction for 3D Cell Culture,Figure 1,i,S-Alg-Ad/Pβ-CD, S-Alg-Ad/Pβ-CD hydrogel and ,"=HYPERLINK(""sem/10.1021_acsami.8b19482\am-2018-19482v_0001.jpeg"",""sem/10.1021_acsami.8b19482\am-2018-19482v_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b19482\SEM"",""sem/10.1021_acsami.8b19482\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b19482,Reversibly Assembled Electroconductive Hydrogel via a Host–Guest Interaction for 3D Cell Culture,Figure 1,ii,PEDOT:S-Alg-Ad/Pβ-CD, PEDOT:S-Alg-Ad/Pβ-CD hydrogel.,"=HYPERLINK(""sem/10.1021_acsami.8b19482\am-2018-19482v_0001.jpeg"",""sem/10.1021_acsami.8b19482\am-2018-19482v_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b19482\SEM"",""sem/10.1021_acsami.8b19482\SEM"")"
https://pubs.acs.org/doi/10.1021/acsapm.1c00256,Fabrication of Cartilage-Inspired Hydrogel/Entangled Polymer–Elastomer Structures Possessing Poro-Elastic Properties,Figure 2,a,EGP/PAAm hydrogel-PDMS, Synthesis of EGP/PAAm hydrogel-PDMS elastomer composite showing the functionalization steps i–iv and cryo-SEM images from ,"=HYPERLINK(""sem/10.1021_acsapm.1c00256\ap1c00256_0002.jpeg"",""sem/10.1021_acsapm.1c00256\ap1c00256_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsapm.1c00256\SEM"",""sem/10.1021_acsapm.1c00256\SEM"")"
https://pubs.acs.org/doi/10.1021/acsapm.1c00256,Fabrication of Cartilage-Inspired Hydrogel/Entangled Polymer–Elastomer Structures Possessing Poro-Elastic Properties,Figure 2,c,"PAAm,"," end-grafted PAAm, and ","=HYPERLINK(""sem/10.1021_acsapm.1c00256\ap1c00256_0002.jpeg"",""sem/10.1021_acsapm.1c00256\ap1c00256_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsapm.1c00256\SEM"",""sem/10.1021_acsapm.1c00256\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c15312,Bifunctional Smart Hydrogel Dressing with Strain Sensitivity and NIR-Responsive Performance,Figure 3,e,"K-M0/PNIPAm,"," K-M0/PNIPAm, and ","=HYPERLINK(""sem/10.1021_acsami.1c15312\am1c15312_0004.jpeg"",""sem/10.1021_acsami.1c15312\am1c15312_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.1c15312\SEM"",""sem/10.1021_acsami.1c15312\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c15312,Bifunctional Smart Hydrogel Dressing with Strain Sensitivity and NIR-Responsive Performance,Figure 3,f,K-M2/PNIPAm, K-M2/PNIPAm freeze-dried hydrogels.,"=HYPERLINK(""sem/10.1021_acsami.1c15312\am1c15312_0004.jpeg"",""sem/10.1021_acsami.1c15312\am1c15312_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.1c15312\SEM"",""sem/10.1021_acsami.1c15312\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c15312,Bifunctional Smart Hydrogel Dressing with Strain Sensitivity and NIR-Responsive Performance,S7.,a,K-M0/PNIPAm, K-M0/PNIPAm and ,"=HYPERLINK(""sem/10.1021_acsami.1c15312\supp_5.jpg"",""sem/10.1021_acsami.1c15312\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acsami.1c15312\SEM"",""sem/10.1021_acsami.1c15312\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c15312,Bifunctional Smart Hydrogel Dressing with Strain Sensitivity and NIR-Responsive Performance,S7.,c,K-M2/PNIPAm," K-M2/PNIPAm freeze-dried   hydrogel, and pore size distribution of ","=HYPERLINK(""sem/10.1021_acsami.1c15312\supp_5.jpg"",""sem/10.1021_acsami.1c15312\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acsami.1c15312\SEM"",""sem/10.1021_acsami.1c15312\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c15312,Bifunctional Smart Hydrogel Dressing with Strain Sensitivity and NIR-Responsive Performance,S7.,b,K-M0/PNIPAm, K-M0/PNIPAm and ,"=HYPERLINK(""sem/10.1021_acsami.1c15312\supp_5.jpg"",""sem/10.1021_acsami.1c15312\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acsami.1c15312\SEM"",""sem/10.1021_acsami.1c15312\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c15312,Bifunctional Smart Hydrogel Dressing with Strain Sensitivity and NIR-Responsive Performance,S7.,d,K-M2/PNIPAm, K-M2/PNIPAm   freeze-dried hydrogel.,"=HYPERLINK(""sem/10.1021_acsami.1c15312\supp_5.jpg"",""sem/10.1021_acsami.1c15312\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acsami.1c15312\SEM"",""sem/10.1021_acsami.1c15312\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b06262,Hydrogel Effects  Rapid Biofilm Debridement with ex situ Contact-Kill to Eliminate Multidrug Resistant Bacteria in vivo,Figure 1,i,PEGDMA," control PEGDMA hydrogel, ","=HYPERLINK(""sem/10.1021_acsami.8b06262\am-2018-06262z_0001.jpeg"",""sem/10.1021_acsami.8b06262\am-2018-06262z_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b06262\SEM"",""sem/10.1021_acsami.8b06262\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b06262,Hydrogel Effects  Rapid Biofilm Debridement with ex situ Contact-Kill to Eliminate Multidrug Resistant Bacteria in vivo,Figure 1,ii,MRSA USA300 PA01, MRSA USA300 and iii PA01 on control hydrogel using FE-SEM.,"=HYPERLINK(""sem/10.1021_acsami.8b06262\am-2018-06262z_0001.jpeg"",""sem/10.1021_acsami.8b06262\am-2018-06262z_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.8b06262\SEM"",""sem/10.1021_acsami.8b06262\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b06262,Hydrogel Effects  Rapid Biofilm Debridement with ex situ Contact-Kill to Eliminate Multidrug Resistant Bacteria in vivo,"
S-14 

 

Scanning electron microscopy to visualize hydrogel-bacteria interactions 

The hydrogels are microporous with pores larger than 10 µm (Figures S2.6a, d, g).",1a,PDP," and PDP hydrogels inoculated with MRSA USA300 Figures S2.6e, h and PA01   Figures S2.6f, i shows that the bacteria attach to the pore walls and experience severe   membrane perturbation.","=HYPERLINK(""sem/10.1021_acsami.8b06262\supp_13.jpg"",""sem/10.1021_acsami.8b06262\supp_13.jpg"")","=HYPERLINK(""sem/10.1021_acsami.8b06262\SEM"",""sem/10.1021_acsami.8b06262\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.8b06262,Hydrogel Effects  Rapid Biofilm Debridement with ex situ Contact-Kill to Eliminate Multidrug Resistant Bacteria in vivo,"S2.6 Morphology of cross-section of (a) control PEGDMA hydrogel, (b) MRSA USA300 and (c) 

PA01 on control hydrogel using FE-SEM.",d,PEI, PEI,"=HYPERLINK(""sem/10.1021_acsami.8b06262\supp_13.jpg"",""sem/10.1021_acsami.8b06262\supp_13.jpg"")","=HYPERLINK(""sem/10.1021_acsami.8b06262\SEM"",""sem/10.1021_acsami.8b06262\SEM"")"
