link,title,gel,modulus,sentence,measurement
https://pubs.acs.org/doi/10.1021/acsabm.1c00739,Molecular Insights on Successful Reconstitution of Freeze-Dried Nanofibrillated Cellulose Hydrogel,"FD, NFC, FD, NFC",rheology,"S1. Optimization took into account   the glass transition (Tg`) temperatures, cake appearance and reconstitution, physicochemical   properties, and rheology of the FD and reconstituted NFC hydrogel formulations, the results of   which were compared with the ones before the freeze-drying process. In addition, the   morphological appearance was evaluated from the FD cakes. All the measurements were done   as triplicates.  After the optimization, molecular dynamics simulations were performed to   resolve the obtained data. NFC hydrogel formulations included different concentrations of D-  (+)-trehalose dihydrate or sucrose with or without glycine (99%), dimethyl sulfoxide (DMSO),   <div class=""annotation""><a href=""mailto:marjo.yliperttula@helsinki.fi"">mailto:marjo.yliperttula@helsinki.fi</a>  ","=HYPERLINK(""sem/10.1021_acsabm.1c00739\supp_0.jpg"",""sem/10.1021_acsabm.1c00739\supp_0.jpg"")"
https://pubs.acs.org/doi/10.1021/acsabm.1c00739,Molecular Insights on Successful Reconstitution of Freeze-Dried Nanofibrillated Cellulose Hydrogel,"NFC, NFC, FD, FD, FD, NFC",rheology,"S1. Schematic figure of the optimization of NFC hydrogel formulations. Numbers inside   the parentheses indicate the quantity of the different NFC hydrogel formulations with n=3-6 in   each experiment. Control is not included in the quantities. Eliminations of the formulations   were based on the Tg` temperatures, cake appearances, physicochemical properties, rheology,   and morphology. The numbers 1.-4. in front indicate the number of the freeze-drying process.   The third and the fourth (3.-4.) FD processes were performed with a different FD cycle   compared to previous ones since the last two formulations had Tg` higher than -40 °C.   Abbreviations: FD = freeze-drying/freeze-dried, NFC = nanofibrillated cellulose.       ","=HYPERLINK(""sem/10.1021_acsabm.1c00739\supp_1.jpg"",""sem/10.1021_acsabm.1c00739\supp_1.jpg"")"
https://pubs.acs.org/doi/10.1021/acs.nanolett.9b02343,Exceptional Mechanical Properties of Phase-Separation-Free Mo3Se3–-Chain-Reinforced Hydrogel Prepared by Polymer Wrapping Process,,"moduli, tensile, elastic","Figure 3. Mechanical properties of the composite hydrogels prepared by the wrapping method. (b) Stress–strain curves, (c) tensile stress, (d) toughness, and (e) elastic moduli of the composite hydrogels prepared using different concentrations of Mo3Se3– nanowires. SEM images of the composite hydrogels having concentrations of Mo3Se3– nanowires of (f) 0.003, (g) 0.01, and (h) 0.05 wt %. The gelatin/Mo3Se3– ratio was fixed to 25. The final concentrations of gelatin are identical (15 wt %).","=HYPERLINK(""sem/10.1021_acs.nanolett.9b02343\nl9b02343_0003.jpeg"",""sem/10.1021_acs.nanolett.9b02343\nl9b02343_0003.jpeg"")"
https://pubs.acs.org/doi/10.1021/acs.nanolett.9b02343,Exceptional Mechanical Properties of Phase-Separation-Free Mo3Se3–-Chain-Reinforced Hydrogel Prepared by Polymer Wrapping Process,,"modulus, elastic","Figure 4. Improvements in the mechanical properties of the composite natural hydrogels with various additive nanomaterials published in previous reports. (a) Tensile strength, (b) strain, (c) toughness, and (d) elastic modulus increases of each composite hydrogel, compared with those of the bare natural hydrogel.","=HYPERLINK(""sem/10.1021_acs.nanolett.9b02343\nl9b02343_0004.jpeg"",""sem/10.1021_acs.nanolett.9b02343\nl9b02343_0004.jpeg"")"
https://pubs.acs.org/doi/10.1021/acs.nanolett.9b02343,Exceptional Mechanical Properties of Phase-Separation-Free Mo3Se3–-Chain-Reinforced Hydrogel Prepared by Polymer Wrapping Process,,tensile," 3      all the resins were submerged. The supernatant solution was passed through the ion exchange   resin to remove the Li cations in air atmosphere. Finally, the aqueous Mo3Se3 - solutions after   ion exchange are used for the preparation of Mo3Se3 - reinforced gelatin hydrogel.      Preparation of composite hydrogel by simple mixing:    The composite hydrogel was prepared by simply mixing gelatin type A with various   concentrations (0, 0.003, 0.01, and 0.05 wt%) of Mo3Se3 - chain nanowire. Final concentration   of gelatin used in each composite hydrogel was 15 wt%. After heating over 70 oC, the mixed   solution was poured into a mold and cooled down to 4 oC.      Preparation of composite hydrogel by polymer wrapping method:    To find the appropriate wrapping ratio between gelatin and Mo3Se3 - chain nanowire, a solution   containing various concentrations of gelatin polymer (20 mL; 0, 0.02, 0.06, 0.1, 0.2, 0.5, 1, and   2 wt%) was poured to Mo3Se3 - nanowire solution (20 mL and 0.02 wt%). The solution   containing both gelatin and Mo3Se3 - chain nanowire was then ultrasonicated for about 30 min   and then shaken for 90 min with a constant stirring at 400 rpm. After adding additional gelatin   powder into the solution containing gelatin wrapped Mo3Se3 - nanowire, the mixed solution was   heated at 70 oC, poured into a mold, and cooled down to 4 oC. The final gelatin concentration   in each composite hydrogel sample was 15 wt%. Because the tensile strength and fracture strain   of the composite hydrogel had maximum values when gelatin / Mo3Se3 - was 25, this condition   was used for most experiments.      Zeta potential measurement:    We used Malvern Zetasizer Nano-ZS90 (UK) with 4 mW He-Ne laser operating at 633 nm for   Dynamic Light Scattering (DLS measurement). DLS measurements were performed with   triplicate samples and error bar indicates stand deviation of the measurement. The instrument   was standardized prior to each experiment following calibration standards.       ","=HYPERLINK(""sem/10.1021_acs.nanolett.9b02343\supp_2.jpg"",""sem/10.1021_acs.nanolett.9b02343\supp_2.jpg"")"
https://pubs.acs.org/doi/10.1021/acsabm.9b00074,Polysaccharide-Based Hybrid Self-Healing Hydrogel Supports the Paracrine Response of Mesenchymal Stem Cells,,"modulus, elastic, shear","Figure 5. Rheological properties of the gels. (A) Amplitude sweep, showing the elastic modulus (solid lines) and viscous modulus (dotted lines) at different shear strains. Inset shows the gel to sol transition. (B) Frequency sweep measurements of the injectable hydrogels, demonstrating their viscoelastic behavior (G′ > G″). Solid lines show the elastic modulus, and dotted lines show the viscous modulus of respective gels. (C) Storage modulus of the respective hydrogels. (D. Degree of cross-linking observed in hydrogels measured using the TNBS assay. Data represents an average of 3 experiments. **** represents P value ≤0.0001; *** P value ≤ 0.001, ** P value ≤ 0.01, and * P value ≤ 0.05 (one-way ANOVA, Tukey’s multiple comparisons test).","=HYPERLINK(""sem/10.1021_acsabm.9b00074\mt-2019-00074c_0005.jpeg"",""sem/10.1021_acsabm.9b00074\mt-2019-00074c_0005.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsabm.9b00074,Polysaccharide-Based Hybrid Self-Healing Hydrogel Supports the Paracrine Response of Mesenchymal Stem Cells,,shear,"Figure 7. The recovery of a hydrogel after the high shear load demonstrated by the continuous step strain (A) CMChH-D (1% strain → 250% strain → 1% strain), (B) CMChM-D (1% strain → 250% strain → 1% strain), and (C) CMChL-D hydrogels, respectively.","=HYPERLINK(""sem/10.1021_acsabm.9b00074\mt-2019-00074c_0007.jpeg"",""sem/10.1021_acsabm.9b00074\mt-2019-00074c_0007.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsabm.9b00074,Polysaccharide-Based Hybrid Self-Healing Hydrogel Supports the Paracrine Response of Mesenchymal Stem Cells,CMCh,storage,"The storage moduli of the composite hydrogels were in the range of 200–600 Pa (storage moduli of CMCh L-D, CMCh M-D, and CMCh H-D hydrogels were 221 ± 13 Pa, 339 ± 38 Pa, and 528 ± 38 Pa, respectively) with the moduli increasing with an increasing molecular weight of chitosan (Figure 5C).",200–600Pa
https://pubs.acs.org/doi/10.1021/acsabm.9b00074,Polysaccharide-Based Hybrid Self-Healing Hydrogel Supports the Paracrine Response of Mesenchymal Stem Cells,L-D,storage,"The storage moduli of the composite hydrogels were in the range of 200–600 Pa (storage moduli of CMCh L-D, CMCh M-D, and CMCh H-D hydrogels were 221 ± 13 Pa, 339 ± 38 Pa, and 528 ± 38 Pa, respectively) with the moduli increasing with an increasing molecular weight of chitosan (Figure 5C).",221±13Pa
https://pubs.acs.org/doi/10.1021/acsabm.9b00074,Polysaccharide-Based Hybrid Self-Healing Hydrogel Supports the Paracrine Response of Mesenchymal Stem Cells,",",storage,"The storage moduli of the composite hydrogels were in the range of 200–600 Pa (storage moduli of CMCh L-D, CMCh M-D, and CMCh H-D hydrogels were 221 ± 13 Pa, 339 ± 38 Pa, and 528 ± 38 Pa, respectively) with the moduli increasing with an increasing molecular weight of chitosan (Figure 5C).",339±38Pa
https://pubs.acs.org/doi/10.1021/acsabm.9b00074,Polysaccharide-Based Hybrid Self-Healing Hydrogel Supports the Paracrine Response of Mesenchymal Stem Cells,CMCh,storage,"The storage moduli of the composite hydrogels were in the range of 200–600 Pa (storage moduli of CMCh L-D, CMCh M-D, and CMCh H-D hydrogels were 221 ± 13 Pa, 339 ± 38 Pa, and 528 ± 38 Pa, respectively) with the moduli increasing with an increasing molecular weight of chitosan (Figure 5C).",528±38Pa
https://pubs.acs.org/doi/10.1021/acsabm.9b00074,Polysaccharide-Based Hybrid Self-Healing Hydrogel Supports the Paracrine Response of Mesenchymal Stem Cells,",",elastic,"(51−54) Organs in mammals have elastic moduli ranging between 100 and 10 000 Pa, depending on the type of tissues.",100and10000Pa
https://pubs.acs.org/doi/10.1021/acsabm.9b00074,Polysaccharide-Based Hybrid Self-Healing Hydrogel Supports the Paracrine Response of Mesenchymal Stem Cells,",",shear,"(55) Cells like neurons, epithelial cells, etc., are reported to survive on soft materials having a shear modulus of 100 Pa. (56,57) The stiffness of hydrogels is reported to effect stem cell proliferation (58) and differentiation.",100Pa.
https://pubs.acs.org/doi/10.1021/acsbiomaterials.9b00712,Three-Dimensional Graphene Oxide Skeleton Guided Poly(acrylic Acid) Composite Hydrogel Particles with Hierarchical Pore Structure for Hemoperfusion,,compressive,"Figure 4. (a) Photos of the hydrogel particles after compression by a weight bar; (b) compressive stress–strain curves of the hydrogel particles; swelling ratios of the particles in water (c) and normal saline (d). *P < 0.05 and nsP > 0.05 were considered statistically significant and nonsignificant, respectively, for the differences between the PAA and GO-PAA HPs under the same PAA content.","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b00712\ab-2019-00712v_0004.jpeg"",""sem/10.1021_acsbiomaterials.9b00712\ab-2019-00712v_0004.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.9b00712,Three-Dimensional Graphene Oxide Skeleton Guided Poly(acrylic Acid) Composite Hydrogel Particles with Hierarchical Pore Structure for Hemoperfusion,"PAA15, PAA20, PAA25, GO-PAA15, GO-PAA20, GO-PAA25, PAA15, PAA20, PAA25, GO-PAA15, GO-PAA20, GO-PAA25",modulus," S7  Fig. S4 Compressive stress-strain curves of the hydrogel particles obtained from normal saline.  Table S1 The calculated Young’s modulus of PAA15, PAA20, PAA25, GO-PAA15, GO-PAA20   and GO-PAA25 in saline-based medium.  Samples PAA15 PAA20 PAA25 GO-PAA15 GO-PAA20 GO-PAA25  Young’s modulus (KPa) 1.1 1.2 1.8 1.6 2.3 3.6  Fig. S5 Swelling ratios of the hydrogel particles in BSA.   ","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b00712\supp_7.jpg"",""sem/10.1021_acsbiomaterials.9b00712\supp_7.jpg"")"
https://pubs.acs.org/doi/10.1021/acsabm.0c00353,Construction of a Silk Fibroin/Polyethylene Glycol Double Network Hydrogel with Co-Culture of HUVECs and UCMSCs for a Functional Vascular Network,SF,storage,"Because of the brittleness of the pure SF hydrogel, G′and G″ could not be measured using the rheometer, while the storage modulus of the PEG hydrogel was 500 Pa, a value too low to allow its use as a scaffold for vascularization (as shown in Figure 2D).",500Pa
https://pubs.acs.org/doi/10.1021/acsabm.0c00353,Construction of a Silk Fibroin/Polyethylene Glycol Double Network Hydrogel with Co-Culture of HUVECs and UCMSCs for a Functional Vascular Network,DN,storage,"However, the storage modulus of the DN hydrogel increased to 20 kPa at an SF concentration of 5% (as shown in Figure 2D) and 60 kPa at an SF concentration of 10% (Figure S5).",20kPa
https://pubs.acs.org/doi/10.1021/acsabm.0c00353,Construction of a Silk Fibroin/Polyethylene Glycol Double Network Hydrogel with Co-Culture of HUVECs and UCMSCs for a Functional Vascular Network,SF,storage,"However, the storage modulus of the DN hydrogel increased to 20 kPa at an SF concentration of 5% (as shown in Figure 2D) and 60 kPa at an SF concentration of 10% (Figure S5).",60kPa
https://pubs.acs.org/doi/10.1021/acsabm.0c00353,Construction of a Silk Fibroin/Polyethylene Glycol Double Network Hydrogel with Co-Culture of HUVECs and UCMSCs for a Functional Vascular Network,10,storage,"Scaffolds with a pore size of 100 μm were formed within 10 s, while the storage modulus (∼20 kPa) and compressive stress (∼80 kPa) improved significantly in comparison with the SF or PEG hydrogel alone.",∼20kPa
https://pubs.acs.org/doi/10.1021/acsabm.0c00353,Construction of a Silk Fibroin/Polyethylene Glycol Double Network Hydrogel with Co-Culture of HUVECs and UCMSCs for a Functional Vascular Network,SF,compressive,"Scaffolds with a pore size of 100 μm were formed within 10 s, while the storage modulus (∼20 kPa) and compressive stress (∼80 kPa) improved significantly in comparison with the SF or PEG hydrogel alone.",∼80kPa
https://pubs.acs.org/doi/10.1021/acsami.7b02072,Functionalized Carbon Nanotube and Graphene Oxide Embedded Electrically Conductive Hydrogel Synergistically Stimulates Nerve Cell Differentiation,"a, OPF, ,, OPF-MTAC, ,, e, rGOaCNTpega-OPF, ,, rGOaCNTpega-OPF-MTAC","modulus, compressive","Figure 4. (a) Compressive stress–strain curve and (b) compressive modulus of the four types of hydrogels were characterized. SEM images of (c) OPF, (d) OPF-MTAC, (e) rGOaCNTpega-OPF, and (f) rGOaCNTpega-OPF-MTAC hydrogels after drying by lyophilization.","=HYPERLINK(""sem/10.1021_acsami.7b02072\am-2017-020727_0004.jpeg"",""sem/10.1021_acsami.7b02072\am-2017-020727_0004.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsami.7b02072,Functionalized Carbon Nanotube and Graphene Oxide Embedded Electrically Conductive Hydrogel Synergistically Stimulates Nerve Cell Differentiation,",",compressive,"The compressive moduli calculated from the linear slope of the compressive strain–stress curve showed increasing values of 100.6 ± 53.3, 159.9 ± 82.0, 538.0 ± 287.5, and 850.5 ± 670.5 kPa for OPF, OPF-MTAC, rGOaCNTpega-OPF, and rGOaCNTpega-OPF-MTAC hydrogels, respectively (Figure 4b).",850.5±670.5kPa
https://pubs.acs.org/doi/10.1021/acsami.0c07558,Physically Cross-Linked Silk Fibroin-Based Tough Hydrogel Electrolyte with Exceptional Water Retention and Freezing Tolerance,"2, A, SF/EMImAc/H2O, EMImAc/H2O, M, M, SF/EMImAc/H2O, SF/EMImAc/H2O, SF/EMImAc/H2O, SF/EMImAc/H2O",tensile,"Figure 2. (A) DSC curves of the SF/EMImAc/H2O hydrogel in a mass ratio of 1/4/5, the EMImAc/H2O solution in a mass ratio of 4/5, the PVA/KCl hydrogel containing 1 M KCl, and the 1 M KCl solution. The small arrows highlight the temperature at which melting starts. (B) Representative tensile stress–strain curves of the SF/EMImAc/H2O hydrogel measured at different temperatures. (C) Ionic conductivity of the SF/EMImAc/H2O hydrogel and the PVA/KCl hydrogel measured at different temperatures. (D) Evolution of water loss with time of the SF/EMImAc/H2O hydrogel and the PVA/KCl hydrogel kept in a chamber at 59% relative humidity (RH); insets: photographs of the SF/EMImAc/H2O hydrogel (left) and the PVA/KCl hydrogel (right) on the 1st and 14th days.","=HYPERLINK(""sem/10.1021_acsami.0c07558\am0c07558_0002.jpeg"",""sem/10.1021_acsami.0c07558\am0c07558_0002.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsami.0c07558,Physically Cross-Linked Silk Fibroin-Based Tough Hydrogel Electrolyte with Exceptional Water Retention and Freezing Tolerance,"SF/EMImAc/H2O, A, I, E, SF/EMImAc/H2O/X, H2O, 2, M",tensile,"Figure 3. SF/EMImAc/H2O hydrogels were measured after being kept in a chamber for 14 days at different relative humidities of 11, 33, 43, 59, 75, and 98%. (A) Raman spectra; the stars highlight the changing peak of the amide I band. (B) Synchrotron radiation SAXS curves; the arrows highlight the peaks of the curve. (C) Transmittance at 550 nm (wavelength of visible light) and the conductivity measured at 25 °C. (D) Representative tensile stress–strain curves measured at 25 °C. (E) Ionic conductivity and fracture energy of SF/EMImAc/H2O/X hydrogels of different fourth additives measured at 25 °C; the asterisks highlight H2O and 2 M KCl as the hydrogels focused in this paper.","=HYPERLINK(""sem/10.1021_acsami.0c07558\am0c07558_0003.jpeg"",""sem/10.1021_acsami.0c07558\am0c07558_0003.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsami.0c07558,Physically Cross-Linked Silk Fibroin-Based Tough Hydrogel Electrolyte with Exceptional Water Retention and Freezing Tolerance,,tensile,"S7. The representative tensile stress-strain curves of PVA/KCl hydrogel measured at   different temperatures. At -30 ºC or below, the hydrogel was frozen over and lost flexibility.   ","=HYPERLINK(""sem/10.1021_acsami.0c07558\supp_4.jpg"",""sem/10.1021_acsami.0c07558\supp_4.jpg"")"
https://pubs.acs.org/doi/10.1021/acsami.0c07558,Physically Cross-Linked Silk Fibroin-Based Tough Hydrogel Electrolyte with Exceptional Water Retention and Freezing Tolerance,"SF/EMImAc/H2O, EMImAc/H2O, A, I",tensile,"S8. SF/EMImAc/H2O hydrogels were measured after being soaked in different   EMImAc/H2O solution for 3 days with mass ratio of 7/2, 6/3, 4/5, 2/7 and 0/9. (A) Raman   spectra. The small star highlights the changing peak of the amide I band. (B) SAXS curves. The   small arrows highlight the peak of the curve. (C) Transmittance of hydrogels 0.5 mm thick at 550   nm (wavelength of visible light) and the conductivity measured at 25 ºC. (D) The representative   tensile stress-strain curves measured at 25 ºC.   ","=HYPERLINK(""sem/10.1021_acsami.0c07558\supp_5.jpg"",""sem/10.1021_acsami.0c07558\supp_5.jpg"")"
https://pubs.acs.org/doi/10.1021/acsami.0c07558,Physically Cross-Linked Silk Fibroin-Based Tough Hydrogel Electrolyte with Exceptional Water Retention and Freezing Tolerance,SF/EMImAc/H2O/X,tensile,S9. The representative tensile stress-strain curves of SF/EMImAc/H2O/X hydrogels   measured at 25 ºC with different fourth additives X. Inset shows magnified plot with low strains   (0~10%).  ,"=HYPERLINK(""sem/10.1021_acsami.0c07558\supp_6.jpg"",""sem/10.1021_acsami.0c07558\supp_6.jpg"")"
https://pubs.acs.org/doi/10.1021/acsami.8b16232,2.5D Hierarchical Structuring of Nanocomposite Hydrogel Films Containing Cellulose Nanocrystals,,modulus,"Figure 3. Average wrinkle length as a function of average (unstructured) film thickness for CNC-containing PO10 2.5 wt % (blue circles), PO10 5.0 wt % (orange triangles), and PO100 5.0 wt % (green diamonds) for biaxially (filled symbols) and uniaxially (unfilled symbols) thermally shrunk thin films. The modulus of each film is calculated from the slope of the regression line.","=HYPERLINK(""sem/10.1021_acsami.8b16232\am-2018-16232y_0002.jpeg"",""sem/10.1021_acsami.8b16232\am-2018-16232y_0002.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsami.9b05536,Integrated Hydrogel Platform for Programmed Antitumor Therapy Based on Near Infrared-Triggered Hyperthermia and Vascular Disruption,B,moduli,"Figure 3. Rheological properties of the NC hydrogel. (A) Shear rate-dependent viscosity. (B) Strain-dependent moduli. (C) Continuous step strain measurements (0.1% strain for 3 min, 300% strain for 30 s). (D) Temperature-dependent moduli.","=HYPERLINK(""sem/10.1021_acsami.9b05536\am-2019-055362_0003.jpeg"",""sem/10.1021_acsami.9b05536\am-2019-055362_0003.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsami.9b05536,Integrated Hydrogel Platform for Programmed Antitumor Therapy Based on Near Infrared-Triggered Hyperthermia and Vascular Disruption,"gellan, B",moduli,"S9. The rheological properties of gellan hydrogel. A) Shear   rate-dependent viscosity; B) Strain-dependent moduli; C) Continuous step   strain measurements (0.1% strain for 3 min, 300% strain for 30 s); D)   Temperature-dependent moduli.   ","=HYPERLINK(""sem/10.1021_acsami.9b05536\supp_9.jpg"",""sem/10.1021_acsami.9b05536\supp_9.jpg"")"
https://pubs.acs.org/doi/10.1021/acsami.9b16610,Programming the Shape Transformation of a Composite Hydrogel Sheet via Erasable and Rewritable Nanoparticle Patterns,N,elastic," S-1  Supporting Information  Programming the Shape Transformation of Composite Hydrogel Sheet  via Erasable and Rewritable Nanoparticle Patterns  Hongyu Guo,† Jian Cheng,‡ Kuikun Yang,† Kerry Demella,§ Teng Li,‡  Srinivasa R. Raghavan,§  and Zhihong Nie‖,†,*  †Department of Chemistry and Biochemistry, University of Maryland, College Park, MD, 20742,  USA.  ‡Department of Mechanical Engineering, University of Maryland, College Park, MD, 20742, USA.  §Department of Chemical and Biomolecular Engineering, University of Maryland, College Park,  MD, 20742, USA. ‖State Key Laboratory of Molecular Engineering of Polymers, Department of Macromolecular  Science, Fudan University, Shanghai, 200438, P.R. China.  *Corresponding author: znie@fudan.edu.cn  Finite Element Modeling Simulation on Shape Transformations of Composite Hydrogel Sheet.   Free energy model of temperature-responsive hydrogel. In our PNIPAm hydrogel, the  interacting aggregation of cross-linked polymer chain network and solvent molecules constitutes a  thermodynamic system of which the macroscopic behaviors are governed by its thermodynamic  energetics. The deformation of PNIPAm hydrogel in balance with mechanical loads and a solvent  reservoir can be modeled by the framework developed by Cai and Suo.1 By thermodynamics  consideration, the Helmholtz free energy of a swelling hydrogel arises from two origins: (i) the  stretching of the polymer network and (ii) the mixing of the two species of molecules. Hence the  free energy density function takes the form:  𝑊 = 1 2  𝑁𝑘𝑇[𝐅:𝐅 ― 3 ― 2log(𝐽)] + 𝑘𝑇[𝑐log( 𝑣𝑐1 + 𝑣𝑐) + (𝐴0 + 𝐵0𝑇)𝑐1 + 𝑣𝑐 + (𝐴1 + 𝐵1𝑇)𝑐(1 + 𝑣𝑐)2 ] (1) where  is the free energy per unit volume in the dry state, N is the number of polymer chains per  𝑊 unit volume in the dry state, k is Boltzmann constant, T is the current temperature at the material  point, F is the deformation gradient tensor which takes the original dry state as reference frame, J  is the Jacobian of deformation gradient tensor, i.e., J=det(F), v is the molecular volume of water, c  is the relative concentration of solvent molecules in the hydrogel-solvent aggregation, and A0, B0,  A1 and B1 are parameters related to the enthalpy of mixing. The first term in Equation (1) denotes  that the stretching of polymer chain network obeys a neo-Hookean hyperelastic material law, and  the second term implies that the mixing of PNIPAM polymer and water molecules follows the  Flory-Huggins theory of solution. A0, B0, A1 and B1 in Equation (1) are to be fitted to the  experimental data for different temperature-responsive hydrogels, as we will identify in the  immediate section for our composite hydrogel.  Equation (1) specifies the explicit expression of the free energy density function which takes  the extensive variables F, c as well as the intensive variable T as its arguments. In such cases that    ","=HYPERLINK(""sem/10.1021_acsami.9b16610\supp_0.jpg"",""sem/10.1021_acsami.9b16610\supp_0.jpg"")"
https://pubs.acs.org/doi/10.1021/acsami.9b16610,Programming the Shape Transformation of a Composite Hydrogel Sheet via Erasable and Rewritable Nanoparticle Patterns,IONPs,elastic," S-3  𝑇 = ― 𝑁𝑣(𝜆5 ― 𝜆3) + 𝜆6log (1 ― 𝜆 ―3) + 𝜆3 + (𝐴0 + 𝐴1𝜆 ―3)  𝐵0 + 𝜆 ―3𝐵1 (7)  The equation above dictates the temperature required by the principle of minimum free energy,  in free swelling cases, for the temperature-sensitive hydrogel to maintain certain amount of  deformation. In other words it also depicts how the hydrogel deforms in response to the change of  the homogeneous temperature field.   By fitting the function T(λ|S=0, μ=0) to the experimentally obtained T~J relation, we  determined the parameters Nv, A0, B0, A1 and B1 as Nv=0.03317, A0=-2.5418, B0=0.01081,  A1=0.57099, B1=-0.000418. We will use this set of parameters for our PNIPAM hydrogel in the  following calculations.   Model of heat transfer processes.  When the top surface is exposed to NIR laser, the IONPs  embedded in PNIPAm absorb the photons and convert the light energy into heat, the surrounding  hydrogel matrix is thus heated. We determined previously the thermal diffusivity of PNIPAm  hydrogel α=K/ρCp=2.36×10-5 cm2/s, where K, ρ and Cp denote the thermal conductivity, density,  and specific heat of the material respectively.3 This thermal diffusivity was used in our present  study.  Deformation of PNIPAm hydrogel in inhomogeneous temperature field.  The deformation  behavior of a temperature-sensitive hydrogel is governed by a thermodynamic free energy thus  resembling a hyperelastic material. Each thermodynamic equilibrium state of temperature-sensitive  hydrogel is a local minimum of the system free energy which can be fully defined by the stretch  ratios λ and a dependent solvent molecule concentration c as discussed above. Furthermore, the  thermodynamic equilibrium is to be altered upon the change of environment variables. Therefore  besides of being able to respond to the conventional mechanical loads, such materials as PNIPAm  hydrogels are also able to deform in accordance with the change in temperature and chemical  potential.   Solving for the equilibrium states is a boundary value problem (BVP). For simpler cases, e.g.,  free swelling hydrogel with homogeneous temperature, analytical solution can be obtained,  whereas for more complicated case, e.g., hydrogel swelling in an inhomogeneous temperature field,  the BVP can be solved numerically by FEM. We adopted the FEM framework established by Ding  et al. for the temperature-responsive hydrogel,4 and prescribed the material properties determined  above to the PNIPAm hydrogel used in this study.  At this stage we assume that the deformation of  PNIPAm hydrogel will not affect the heat transfer processes. A fully coupled thermo-mechanical  algorithm is implemented in the commercial FEM package ABAQUS by making use of its  temperature-displacement elements.    ","=HYPERLINK(""sem/10.1021_acsami.9b16610\supp_2.jpg"",""sem/10.1021_acsami.9b16610\supp_2.jpg"")"
https://pubs.acs.org/doi/10.1021/acsami.9b16610,Programming the Shape Transformation of a Composite Hydrogel Sheet via Erasable and Rewritable Nanoparticle Patterns,,modulus,S6. Shear modulus of pure and composite PNIPAm hydrogel as a function of temperature.    ,"=HYPERLINK(""sem/10.1021_acsami.9b16610\supp_4.jpg"",""sem/10.1021_acsami.9b16610\supp_4.jpg"")"
https://pubs.acs.org/doi/10.1021/acsami.6b09483,"An Efficient, Recyclable, and Stable Immobilized Biocatalyst Based on Bioinspired Microcapsules-in-Hydrogel Scaffolds",a,storage,"Figure 8. (a) pH, (b) thermal, and (c) storage stability of G-MCH scaffolds and free GOD.","=HYPERLINK(""sem/10.1021_acsami.6b09483\am-2016-09483h_0008.jpeg"",""sem/10.1021_acsami.6b09483\am-2016-09483h_0008.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsapm.0c00264,"Mussel-Inspired Self-Adhesive, Antidrying, and Antifreezing Poly(acrylic acid)/Bentonite/Polydopamine Hybrid Glycerol-Hydrogel and the Sensing Application",,modulus,"Figure 3. Tensile properties of different G-hydrogels. (a,b) Tensile performance of hydrogel-1, 2, 3, 4, 5, 6: (a) strain curves and (b) the corresponding plot of elongation at break, breaking strength and Young’s modulus. (c,d) Tensile performance of G-hydrogel-7, 8, 9, 10, 11: (c) strain curves, (d) the corresponding plot of elongation at break, breaking strength and Young’s modulus. (e,f) Tensile performance of G-hydrogel-12, 13, 14, 15, 16, 17: (e) strain curves, (f) the corresponding plot of elongation at break, breaking strength and Young’s modulus.","=HYPERLINK(""sem/10.1021_acsapm.0c00264\ap0c00264_0003.jpeg"",""sem/10.1021_acsapm.0c00264\ap0c00264_0003.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsapm.0c00264,"Mussel-Inspired Self-Adhesive, Antidrying, and Antifreezing Poly(acrylic acid)/Bentonite/Polydopamine Hybrid Glycerol-Hydrogel and the Sensing Application",,modulus,"Figure 5. Antifreezing property of G-hydrogels. (a) The digital photos of the G-hydrogel with different G-glycerol content before and after being frozen at −15 °C. (b) Tensile curves of G-hydrogel-12 (0 wt %), G-hydrogel-13 (10 wt %), G-hydrogel-14 (30 wt %), G-hydrogel-15 (50 wt %), G-hydrogel-16 (70 wt %), and G-hydrogel-17 (90 wt %) before and after being frozen at −15 °C. (c–e) Elongation at break (c), breaking strength (d), and Young’s modulus (e) of G-hydrogel-12 (0 wt %), G-hydrogel-13 (10 wt %), G-hydrogel-14(30 wt %), G-hydrogel-15 (50 wt %), G-hydrogel-16 (70 wt %), and G-hydrogel-17 (90 wt %) before and after being frozen at −15 °C. (f) The DSC melting curves of the G-hydrogels with different content of glycerol.","=HYPERLINK(""sem/10.1021_acsapm.0c00264\ap0c00264_0005.jpeg"",""sem/10.1021_acsapm.0c00264\ap0c00264_0005.jpeg"")"
